SATELLITE;BAND;WAVELENGTH;RSR;stdev
Landsat 8;7;2114;0.722284;0.042668
Landsat 8;7;2115;0.756529;0.042143
Landsat 8;7;2116;0.776463;0.042754
Landsat 8;7;2117;0.792667;0.044037
Landsat 8;7;2118;0.813716;0.044047
Landsat 8;7;2119;0.836001;0.043313
Landsat 8;7;2120;0.846344;0.043678
Landsat 8;7;2121;0.853714;0.044674
Landsat 8;7;2122;0.867845;0.044309
Landsat 8;7;2123;0.883615;0.043172
Landsat 8;7;2124;0.886411;0.043482
Landsat 8;7;2125;0.886127;0.044601
Landsat 8;7;2126;0.895232;0.043821
Landsat 8;7;2127;0.906527;0.041991
Landsat 8;7;2128;0.909739;0.041297
Landsat 8;7;2129;0.911091;0.041227
Landsat 8;7;2130;0.917985;0.039531
Landsat 8;7;2131;0.926131;0.036955
Landsat 8;7;2132;0.929693;0.035871
